nct_id,ticker,phase,outcome_category,phase_clean,category_clean,car,car_long_window,short_raw,short_benchmark,estimation_window_return,unstable_estimation,needs_reverification,sign_disagreement,sign_disagreement_old,trustworthy,audit_status
NCT04402866,TBPH,PHASE2,failure_efficacy_safety,Phase 2,Failure,-0.0969818799556252,-0.2567545916405863,-0.089168545234576,0.0053896179507109,0.1108564580005762,False,True,False,False,False,unconfirmed_recovery_candidate
NCT03750552,TBPH,PHASE3,failure_efficacy_safety,Phase 3,Failure,-0.1494408970449988,-0.483293132329448,-0.1595744560928235,0.0088068082792671,-0.3238747879777691,False,False,False,False,True,
NCT04657666,JAZZ,PHASE3,failure_efficacy_safety,Phase 3,Failure,-0.0670688126030412,-0.0886981379076511,-0.0149942097558475,0.1376804174151626,0.095347607304477,False,False,False,True,True,
NCT02955212,ABBV,PHASE3,success,Phase 3,Success,0.0666570742764315,0.0150224323962883,0.0634748083837948,-0.0137102333008494,0.2237777108430985,False,True,False,False,False,
NCT04595370,AZN,PHASE2,success,Phase 2,Success,0.0043482336649869,-0.0376088504934208,-0.0054644558265123,-0.0372065801460897,-0.0546567689839579,False,False,False,False,True,
NCT02454933,AZN,PHASE3,failure_efficacy_safety,Phase 3,Failure,0.0472109115350475,-0.0545856127939518,0.0560392888788587,0.0330259679256157,0.0325372524265661,False,False,False,False,True,
NCT03139604,INCY,PHASE3,success,Phase 3,Success,-0.0477868397855627,-0.1556298346020542,-0.0324346041880674,0.0165237912971927,0.1970471081519709,False,True,False,False,False,
NCT04921969,INCY,PHASE3,success,Phase 3,Success,0.0126832488575378,-0.026772305882134,0.0373192621340987,0.0744343948012236,-0.0064681032870678,False,True,False,False,False,
NCT03359785,NBIX,PHASE2,success,Phase 2,Success,0.0204890566418945,0.1939363399311885,-0.0365117687188034,-0.0649977986984166,-0.0572159315506631,False,True,True,False,False,
NCT03377699,NVO,PHASE3,success,Phase 3,Success,-0.0023975025142572,-0.053128316765716,0.0258619670660682,0.0909209281801526,0.1040019548798509,False,True,False,False,False,
NCT05538312,PFE,PHASE1,success,Phase 1,Success,0.0067054684241341,0.14287519019528,-0.0065526604153648,0.0053107293177812,-0.2594071887108252,False,True,True,False,False,
NCT04074161,NVO,PHASE3,success,Phase 3,Success,-0.0084273435986438,0.1233272447540108,-0.0082150513035013,-0.0015752436145578,0.0347738554676544,False,True,False,False,False,confirmed_wrong_match
NCT03574597,NVO,PHASE3,success,Phase 3,Success,0.1525964276589912,0.1191075341341088,0.1559068779128953,-0.016365086052975,0.1847537755748258,False,False,False,False,True,
