nct_id,ticker,phase_clean,category_clean,results_posted,baseline_car,baseline_raw,category_refined
NCT01524783,NVS,Phase 3,Success,2016-12-28,0.0212746540261429,0.0149087700422907,Success
NCT04439071,PTCT,Phase 2/3,Business Termination,2023-06-26,-0.0259518146507759,-0.0362285490835736,Business Termination
NCT03237325,SNGX,Phase 3,Success,2022-08-29,-0.0520000930779351,-0.0602409647783173,Success
NCT02108964,NVS,Phase 1/2,Success,2020-10-26,-0.0741791448566496,-0.0686950366579604,Success
NCT02606461,KPTI,Phase 2/3,Success,2021-12-07,-0.0698536948665151,-0.1126373238654314,Success
NCT02464228,KURA,Phase 2,Success,2024-06-26,-0.0525970252945857,-0.0167144399495344,Success
NCT03548987,NVO,Phase 3,Success,2021-03-15,-0.011034397763632,0.000697227585088,Success
NCT03427125,ARDX,Phase 3,Success,2023-06-29,-0.0565529344344401,-0.0265487167559939,Success
NCT04186871,BMY,Phase 2,Success,2024-01-16,0.0101341959246138,-0.0112514235379777,Success
NCT04753606,NAMS,Phase 2,Success,2024-06-11,-0.0450084315844183,-0.0081632573621465,Success
NCT03611582,NVO,Phase 3,Success,2021-07-09,0.0137253674993087,0.0189299606037758,Success
NCT03796676,PFE,Phase 3,Success,2021-06-04,4.085425027507226e-05,0.0090903772074457,Success
NCT03877224,AZN,Phase 3,Success,2021-11-17,-0.0432189584842335,-0.0363945475355276,Success
NCT01593254,BMY,Phase 2,Success,2019-04-11,0.0180097926745613,-0.0061977529682488,Success
NCT02697734,NVS,Phase 3,Success,2021-10-19,0.0240470001745022,0.0250603952842116,Success
NCT02819635,ABBV,Phase 2/3,Success,2022-06-30,-0.0100760188412901,0.0051585607986492,Success
NCT04680975,SNY,Phase 2,Business Termination,2023-06-05,-0.0179672639397145,-0.0027440229961189,Business Termination (feasibility)
NCT04072887,NVS,Phase 2,Success,2023-04-28,-0.0085318172708503,-0.0048057949343127,Success
NCT03985293,PFE,Phase 2,Success,2022-06-30,-0.0052720297456607,-0.0046261164575133,Success
NCT03373461,NVS,Phase 2,Success,2022-10-07,-0.0227938795844601,-0.0302954403103702,Success
NCT03829657,TBPH,Phase 3,Business Termination,2023-01-20,-0.0537649617168392,-0.0393356491058596,Excluded (ambiguous)
NCT03523728,SNY,Phase 2/3,Failure,2022-11-09,-0.0199866174947308,-0.0187987617416021,Failure
NCT04682639,PFE,Phase 2,Success,2023-10-26,-0.0015473212479526,-0.0094033185581399,Success
NCT04492722,AZN,Phase 2,Business Termination,2023-12-26,-0.0014796143395726,0.0231074364804579,Failure
