ticker,drug_name,phase,outcome,category,success,date,tier,alpha,beta,car_short,ret_long_entry_exit,ar_long_entry_exit,ret_short_entry_exit,ar_short_entry_exit
LGND,VK5211,Phase 2,met,Phase 2 met,True,2017-11-28,small,0.001224600630338647,0.45116280981233914,-0.023178808143582752,0.06704416189161067,-0.06779260574814183,-0.08248752530780201,-0.08883032206631103
LLY,(MK-3475-189/KEYNOTE-189),Phase 3,met,Phase 3 met,True,2018-04-16,large,-0.0002593110734608215,0.33537792348218937,0.007654742905020218,0.13884686649970823,0.14113913488862906,0.03657732782016776,0.03876733636299301
LLY,AM0010 (PEG-IL-10) - Sequoia,Phase 3,miss,Phase 3 miss,False,2019-10-16,large,-0.0007463704725176334,0.37060906440214025,-0.001013858068922735,0.2800886819999715,0.28568636598710384,-0.032083781029783376,-0.04754451863291709
LLY,Abemaciclib - JUNIPER,Phase 3,miss,Phase 3 miss,False,2017-10-10,large,0.0002322158234319989,0.22460972953945252,-0.01199263195890099,0.04857537787210853,0.014221436521190345,0.016777317598256403,0.006349701917259365
LLY,Abemaciclib - MONARCH 1 and 2,Phase 3,met,Phase 3 met,True,2017-03-20,large,0.00017268162324285505,0.3758026925798093,0.0015124529589789493,0.03537864244892286,-0.012401606817482591,0.005490811166027454,0.010553918597356216
LLY,Abemaciclib - MONARCH 3,Phase 3,met,Phase 3 met,True,2017-04-24,large,0.0009605055455451989,0.3669279014948737,-0.01709390670890254,0.010272339419515664,-0.13137991134347826,-0.041471786036492486,-0.0826054662478296
LLY,Baricitinib,Phase 3,met,Phase 3 met,True,2019-02-04,large,0.0026568144849385533,0.15771540793052638,0.002723334450419612,0.05365407062512917,-0.18584002322891002,-0.009650991854927682,-0.052554565085164096
LLY,Baricitinib,Phase 3,met,Phase 3 met,True,2019-08-23,large,-0.00017552904789445116,0.27898984518950226,0.010646765709664496,0.0763954712600372,0.07845625835072911,-0.003217361073129532,0.01466957877419861
LLY,Empagliflozin,Phase 3,met,Phase 3 met,True,2018-06-25,large,-0.00010627209084992107,0.3843834237394823,0.010986607322823971,0.2836841516535278,0.2699833302919068,-0.0025557896013782555,-0.0018535720421100077
LLY,Empagliflozin,Phase 3,miss,Phase 3 miss,False,2019-12-13,large,-2.2450417972506124e-05,0.32633099538702504,0.03548126765423221,0.28353688624758844,0.37777098106415163,0.12763976946113265,0.11510477658700369
LLY,Flortaucipir F 18 (Tau imaging agent),Phase 3,met,Phase 3 met,True,2018-09-05,large,0.0015025568855938558,0.376847194542257,0.02063319865058255,0.15444909376117155,0.07371322652441137,0.0014173179389775914,-0.03428329770792504
LLY,Galcanezumab,Phase 3,met,Phase 3 met,True,2019-08-05,large,-0.00036968837868717246,0.23473049512889488,0.028492109200654037,0.0028427436160534114,0.043740232963575654,0.06376996868851714,0.07931904563241154
LLY,Ixekizumab,Phase 3,met,Phase 3 met,True,2018-06-28,large,-0.00014496269211993566,0.3849661929232906,0.001951333476546413,0.2792703505059053,0.2803193815564631,0.019481844519627423,0.008578659191304405
LLY,Lanabecestat (AZD3293) - AMARANTH,Phase 3,miss,Phase 3 miss,False,2018-06-11,large,-0.00018553755324178962,0.3859651040044266,0.0007277560097675995,0.33250048655673936,0.3071711959416379,0.04110761508244565,0.023944603952717136
