,0
NCT04109547,0.5123357132698123
NCT03112603,0.016025194234276396
NCT04410978,0.04943061799887993
NCT03738215,0.49043416392492256
NCT03739203,0.49043416392492256
NCT04396756,0.4130106185359468
NCT04106557,0.445026198270267
NCT02865850,0.6966759495812715
NCT01940341,0.12855745304365018
NCT01972217,0.06960857986394275
NCT04292899,0.13886931143084036
NCT03714152,-0.7569416485918421
NCT04413617,0.5187232497603012
NCT04239014,-0.0665129340609415
NCT04960202,0.2873271060960707
NCT02718300,0.09493297341431517
NCT04084678,-0.1741625835369699
NCT03802227,-0.14694891985632796
NCT03499353,0.08228612003358471
NCT05128773,-0.17970532784125948
NCT05086744,0.09627854377800005
NCT04203498,-0.08718611305739121
NCT04377620,-0.06595291254283964
NCT04329949,0.23119914463943947
NCT03882918,-0.07588074987746318
NCT05344365,-0.21081081731260776
NCT05996744,0.2309160339010201
NCT03521934,-0.5623529378105612
NCT04035668,0.1596531655582374
NCT04820686,-0.3396226853623816
NCT01986348,1.4888305064026426
NCT03320642,-0.08029200016046689
NCT03891420,2.8600581671811898
NCT04147195,0.1596531655582374
NCT04984278,-0.013056592362116315
NCT05368558,0.08801698439537464
NCT03400176,0.09627854377800005
NCT04378075,0.2908557516263597
NCT04965753,-0.42112673398309
NCT03597503,-0.2743165738051788
NCT03315143,-0.2936803212854253
NCT03360006,0.11165751814138591
NCT03434353,0.12261557833147863
NCT04683939,-0.29913136221789904
NCT03829657,0.1666667423551078
NCT05556265,0.42882245794042384
NCT04633187,-0.19374864908472633
NCT03822117,0.09493297341431517
NCT05372887,0.07547169811320753
NCT04727528,0.13311174182676244
NCT04000009,-0.03378372967124843
NCT04553406,0.4210920091721073
NCT03878719,-0.08587427657916058
